,airports,cities,countries,airports - cities
1131,Fianarantsoa Airport,Fianarantsoa,MG,Fianarantsoa Airport - Fianarantsoa
1132,Manakara Airport,Manakara,MG,Manakara Airport - Manakara
1133,Mananjary Airport,Mananjary,MG,Mananjary Airport - Mananjary
1134,Morombe Airport,Morombe,MG,Morombe Airport - Morombe
1135,Toliara Airport,Toliara,MG,Toliara Airport - Toliara
1136,Mbanza Congo Airport,Mbanza Congo,AO,Mbanza Congo Airport - Mbanza Congo
1137,Benguela 17th of September Airport,Benguela,AO,Benguela 17th of September Airport - Benguela
1138,Cabinda Airport,Cabinda,AO,Cabinda Airport - Cabinda
1139,Catumbela Airport,Catumbela,AO,Catumbela Airport - Catumbela
1140,Dundo Airport,Chitato,AO,Dundo Airport - Chitato
1141,Ngjiva Pereira Airport,Ngiva,AO,Ngjiva Pereira Airport - Ngiva
1142,Nova Lisboa Airport,Huambo,AO,Nova Lisboa Airport - Huambo
1143,Kuito Airport,Kuito,AO,Kuito Airport - Kuito
1144,Quatro de Fevereiro Airport,Luanda,AO,Quatro de Fevereiro Airport - Luanda
1145,Malanje Airport,Malanje,AO,Malanje Airport - Malanje
1146,Menongue Airport,Menongue,AO,Menongue Airport - Menongue
1147,Welwitschia Mirabilis International Airport,Moçâmedes,AO,Welwitschia Mirabilis International Airport - Moçâmedes
1148,Negage Airport,Negage,AO,Negage Airport - Negage
1149,Porto Amboim Airport,Port Amboim,AO,Porto Amboim Airport - Port Amboim
1150,Saurimo Airport,Saurimo,AO,Saurimo Airport - Saurimo
1151,Soyo Airport,Soyo,AO,Soyo Airport - Soyo
1152,Sumbe Airport,Sumbe,AO,Sumbe Airport - Sumbe
1153,Lubango Airport,Lubango,AO,Lubango Airport - Lubango
1154,Luena Airport,Luena,AO,Luena Airport - Luena
1155,Uige Airport,Uige,AO,Uige Airport - Uige
1156,Xangongo Airport,Xangongo,AO,Xangongo Airport - Xangongo
1157,Koulamoutou Mabimbi Airport,Koulamoutou,GA,Koulamoutou Mabimbi Airport - Koulamoutou
1158,Mouilla Ville Airport,Mouila,GA,Mouilla Ville Airport - Mouila
1159,Oyem Airport,Oyem,GA,Oyem Airport - Oyem
1160,Okondja Airport,Okondja,GA,Okondja Airport - Okondja
1161,Lambarene Airport,Lambarene,GA,Lambarene Airport - Lambarene
1162,Bitam Airport,Bitam,GA,Bitam Airport - Bitam
1163,Port Gentil Airport,Port Gentil,GA,Port Gentil Airport - Port Gentil
1164,Omboue Hospital Airport,Omboue,GA,Omboue Hospital Airport - Omboue
1165,Makokou Airport,Makokou,GA,Makokou Airport - Makokou
1166,Libreville Leon M'ba International Airport,Libreville,GA,Libreville Leon M'ba International Airport - Libreville
1167,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,GA,M'Vengue El Hadj Omar Bongo Ondimba International Airport - Franceville
1168,Principe Airport,São Tomé & Príncipe,ST,Principe Airport - São Tomé & Príncipe
1169,São Tomé International Airport,São Tomé,ST,São Tomé International Airport - São Tomé
1170,Beira Airport,Beira,MZ,Beira Airport - Beira
1171,Chimoio Airport,Chimoio,MZ,Chimoio Airport - Chimoio
1172,Inhambane Airport,Inhambane,MZ,Inhambane Airport - Inhambane
1173,Lichinga Airport,Lichinga,MZ,Lichinga Airport - Lichinga
1174,Maputo Airport,Maputo,MZ,Maputo Airport - Maputo
1175,Mueda Airport,Mueda,MZ,Mueda Airport - Mueda
1176,Mocímboa da Praia Airport,Mocímboa da Praia,MZ,Mocímboa da Praia Airport - Mocímboa da Praia
1177,Nampula Airport,Nampula,MZ,Nampula Airport - Nampula
1178,Pemba Airport,Pemba / Porto Amelia,MZ,Pemba Airport - Pemba / Porto Amelia
1179,Quelimane Airport,Quelimane,MZ,Quelimane Airport - Quelimane
1180,Chingozi Airport,Tete,MZ,Chingozi Airport - Tete
1181,Vilankulo Airport,Vilanculo,MZ,Vilankulo Airport - Vilanculo
1182,Seychelles International Airport,Mahe Island,SC,Seychelles International Airport - Mahe Island
1183,Praslin Airport,Grand Anse,SC,Praslin Airport - Grand Anse
1184,Abeche Airport,Abeche,TD,Abeche Airport - Abeche
1185,Moundou Airport,Moundou,TD,Moundou Airport - Moundou
1186,N'Djamena International Airport,N'Djamena,TD,N'Djamena International Airport - N'Djamena
1187,Faya Largeau Airport,,TD,Faya Largeau Airport - nan
1188,Joshua Mqabuko Nkomo International Airport,Bulawayo,ZW,Joshua Mqabuko Nkomo International Airport - Bulawayo
1189,Buffalo Range Airport,Chiredzi,ZW,Buffalo Range Airport - Chiredzi
1190,Victoria Falls International Airport,Victoria Falls,ZW,Victoria Falls International Airport - Victoria Falls
1191,Robert Gabriel Mugabe International Airport,Harare,ZW,Robert Gabriel Mugabe International Airport - Harare
1192,Kariba International Airport,Kariba,ZW,Kariba International Airport - Kariba
1193,Mutoko Airport,Mutoko,ZW,Mutoko Airport - Mutoko
1194,Masvingo International Airport,Masvingo,ZW,Masvingo International Airport - Masvingo
1195,Gweru - Thornhill Air Base,Gweru,ZW,Gweru - Thornhill Air Base - Gweru
1196,Hwange National Park Airport,Hwange,ZW,Hwange National Park Airport - Hwange
1197,Chileka International Airport,Blantyre,MW,Chileka International Airport - Blantyre
1198,Dwangwa Airport,Dwangwa,MW,Dwangwa Airport - Dwangwa
1199,Karonga Airport,Karonga,MW,Karonga Airport - Karonga
1200,Lilongwe International Airport,Lilongwe,MW,Lilongwe International Airport - Lilongwe
1201,Mangochi Airport,Mangochi,MW,Mangochi Airport - Mangochi
1202,Mzuzu Airport,Mzuzu,MW,Mzuzu Airport - Mzuzu
1203,Moshoeshoe I International Airport,Maseru,LS,Moshoeshoe I International Airport - Maseru
1204,Arandis Airport,Arandis,,Arandis Airport - Arandis
1205,Grootfontein Airport,Grootfontein,,Grootfontein Airport - Grootfontein
1206,Keetmanshoop Airport,Keetmanshoop,,Keetmanshoop Airport - Keetmanshoop
1207,Luderitz Airport,Luderitz,,Luderitz Airport - Luderitz
1208,Mariental Airport,Mariental,,Mariental Airport - Mariental
1209,Ondangwa Airport,Ondangwa,,Ondangwa Airport - Ondangwa
1210,Oranjemund Airport,Oranjemund,,Oranjemund Airport - Oranjemund
1211,Rundu Airport,Rundu,,Rundu Airport - Rundu
1212,Tsumeb Airport,Tsumeb,,Tsumeb Airport - Tsumeb
1213,Walvis Bay Airport,Walvis Bay,,Walvis Bay Airport - Walvis Bay
1214,Eros Airport,Windhoek,,Eros Airport - Windhoek
1215,Hosea Kutako International Airport,Windhoek,,Hosea Kutako International Airport - Windhoek
1216,Ndjili International Airport,Kinshasa,CD,Ndjili International Airport - Kinshasa
1217,Ndolo Airport,N'dolo,CD,Ndolo Airport - N'dolo
1218,Bandundu Airport,Bandundu,CD,Bandundu Airport - Bandundu
1219,Kikwit Airport,Kikwit,CD,Kikwit Airport - Kikwit
1220,Mbandaka Airport,Mbandaka,CD,Mbandaka Airport - Mbandaka
1221,Gbadolite Airport,Gbadolite,CD,Gbadolite Airport - Gbadolite
1222,Gemena Airport,Gemena,CD,Gemena Airport - Gemena
1223,Lisala Airport,,CD,Lisala Airport - nan
1224,Bangoka International Airport,Kisangani,CD,Bangoka International Airport - Kisangani
1225,Matari Airport,,CD,Matari Airport - nan
1226,Bunia Airport,,CD,Bunia Airport - nan
1227,Buta Zega Airport,,CD,Buta Zega Airport - nan
1228,Bukavu Kavumu Airport,,CD,Bukavu Kavumu Airport - nan
1229,Goma International Airport,Goma,CD,Goma International Airport - Goma
1230,Kindu Airport,Kindu,CD,Kindu Airport - Kindu
1231,Lubumbashi International Airport,Lubumbashi,CD,Lubumbashi International Airport - Lubumbashi
1232,Kolwezi Airport,,CD,Kolwezi Airport - nan
1233,Kalemie Airport,,CD,Kalemie Airport - nan
1234,Kamina Base Airport,,CD,Kamina Base Airport - nan
1235,Kananga Airport,Kananga,CD,Kananga Airport - Kananga
1236,Mbuji Mayi Airport,Mbuji Mayi,CD,Mbuji Mayi Airport - Mbuji Mayi
1237,Modibo Keita International Airport,Bamako,ML,Modibo Keita International Airport - Bamako
1238,Gao Airport,,ML,Gao Airport - nan
1239,Kayes Dag Dag Airport,,ML,Kayes Dag Dag Airport - nan
1240,Mopti Ambodédjo International Airport,Sévaré,ML,Mopti Ambodédjo International Airport - Sévaré
1241,Timbuktu Airport,Timbuktu,ML,Timbuktu Airport - Timbuktu
1242,Banjul International Airport,Banjul,GM,Banjul International Airport - Banjul
1243,Fuerteventura Airport,Fuerteventura Island,ES,Fuerteventura Airport - Fuerteventura Island
1244,El Hierro Airport,El Hierro Island,ES,El Hierro Airport - El Hierro Island
1245,La Palma Airport,"Sta Cruz de la Palma, La Palma Island",ES,"La Palma Airport - Sta Cruz de la Palma, La Palma Island"
1246,Gran Canaria Airport,Gran Canaria Island,ES,Gran Canaria Airport - Gran Canaria Island
1247,César Manrique-Lanzarote Airport,Lanzarote Island,ES,César Manrique-Lanzarote Airport - Lanzarote Island
1248,Tenerife Sur Airport,Tenerife,ES,Tenerife Sur Airport - Tenerife
1249,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,Tenerife Norte-Ciudad de La Laguna Airport - Tenerife
1250,Ozurgeti Air Base,Ozurgeti,GE,Ozurgeti Air Base - Ozurgeti
1251,Senaki Air Base,Senaki,GE,Senaki Air Base - Senaki
1252,Melilla Airport,Melilla,ES,Melilla Airport - Melilla
1253,Bo Airport,Bo,SL,Bo Airport - Bo
1254,Kenema Airport,Kenema,SL,Kenema Airport - Kenema
1255,Lungi International Airport,Freetown (Lungi-Town),SL,Lungi International Airport - Freetown (Lungi-Town)
1256,Yengema Airport,Yengema,SL,Yengema Airport - Yengema
1257,Osvaldo Vieira International Airport,Bissau,GW,Osvaldo Vieira International Airport - Bissau
1258,Spriggs Payne Airport,Monrovia,LR,Spriggs Payne Airport - Monrovia
1259,Roberts International Airport,Monrovia,LR,Roberts International Airport - Monrovia
1260,Al Massira Airport,Agadir (Temsia),MA,Al Massira Airport - Agadir (Temsia)
1261,Tan Tan Airport,Tan Tan,MA,Tan Tan Airport - Tan Tan
1262,Bouarfa Airport,Bouarfa,MA,Bouarfa Airport - Bouarfa
1263,Saïss Airport,Fes,MA,Saïss Airport - Fes
1264,Moulay Ali Cherif Airport,Errachidia,MA,Moulay Ali Cherif Airport - Errachidia
1265,Bassatine Airport,Meknes,MA,Bassatine Airport - Meknes
1266,Angads Airport,Oujda,MA,Angads Airport - Oujda
1267,Smara Airport,Smara,EH,Smara Airport - Smara
1268,Rabat-Salé Airport,Rabat,MA,Rabat-Salé Airport - Rabat
1269,Dakhla Airport,Dakhla,EH,Dakhla Airport - Dakhla
1270,Essaouira-Mogador Airport,Essaouira,MA,Essaouira-Mogador Airport - Essaouira
1271,Hassan I Airport,El Aaiún,EH,Hassan I Airport - El Aaiún
1272,Mohammed V International Airport,Casablanca,MA,Mohammed V International Airport - Casablanca
1273,Nador International Airport,Nador,MA,Nador International Airport - Nador
1274,Menara Airport,Marrakech,MA,Menara Airport - Marrakech
1275,Kenitra Air Base,Kenitra,MA,Kenitra Air Base - Kenitra
1276,Ouarzazate Airport,Ouarzazate,MA,Ouarzazate Airport - Ouarzazate
1277,Golog Maqin Airport,Golog,CN,Golog Maqin Airport - Golog
1278,Cherif Al Idrissi Airport,Al Hoceima,MA,Cherif Al Idrissi Airport - Al Hoceima
1279,Saniat R'mel Airport,Tétouan,MA,Saniat R'mel Airport - Tétouan
1280,Tangier Ibn Battouta Airport,Tangier,MA,Tangier Ibn Battouta Airport - Tangier
1281,Blaise Diagne International Airport,Dakar,SN,Blaise Diagne International Airport - Dakar
1282,Ziguinchor Airport,Ziguinchor,SN,Ziguinchor Airport - Ziguinchor
1283,Cap Skirring Airport,Cap Skirring,SN,Cap Skirring Airport - Cap Skirring
1284,Kaolack Airport,Kaolack,SN,Kaolack Airport - Kaolack
1285,Léopold Sédar Senghor International Airport,Dakar,SN,Léopold Sédar Senghor International Airport - Dakar
1286,Ouro Sogui Airport,Ouro Sogui,SN,Ouro Sogui Airport - Ouro Sogui
1287,Saint Louis Airport,Saint Louis,SN,Saint Louis Airport - Saint Louis
1288,Bakel Airport,Bakel,SN,Bakel Airport - Bakel
1289,Kédougou Airport,Kédougou,SN,Kédougou Airport - Kédougou
1290,Tambacounda Airport,Tambacounda,SN,Tambacounda Airport - Tambacounda
1291,Nouakchott–Oumtounsy International Airport,Nouakchott,MR,Nouakchott–Oumtounsy International Airport - Nouakchott
1292,Atar International Airport,Atar,MR,Atar International Airport - Atar
1293,Nouadhibou International Airport,Nouadhibou,MR,Nouadhibou International Airport - Nouadhibou
1294,Conakry International Airport,Conakry,GN,Conakry International Airport - Conakry
1295,Amílcar Cabral International Airport,Espargos,CV,Amílcar Cabral International Airport - Espargos
1296,Rabil Airport,Rabil,CV,Rabil Airport - Rabil
1297,Maio Airport,Vila do Maio,CV,Maio Airport - Vila do Maio
1298,Praia International Airport,Praia,CV,Praia International Airport - Praia
1299,Preguiça Airport,Preguiça,CV,Preguiça Airport - Preguiça
1300,São Pedro Airport,São Pedro,CV,São Pedro Airport - São Pedro
1301,Addis Ababa Bole International Airport,Addis Ababa,ET,Addis Ababa Bole International Airport - Addis Ababa
1302,Arba Minch Airport,,ET,Arba Minch Airport - nan
1303,Axum Airport,,ET,Axum Airport - nan
1304,Bahir Dar Airport,Bahir Dar,ET,Bahir Dar Airport - Bahir Dar
1305,Aba Tenna Dejazmach Yilma International Airport,Dire Dawa,ET,Aba Tenna Dejazmach Yilma International Airport - Dire Dawa
1306,Gambella Airport,Gambela,ET,Gambella Airport - Gambela
1307,Gonder Airport,Gondar,ET,Gonder Airport - Gondar
1308,Gode Airport,Gode,ET,Gode Airport - Gode
1309,Harar Meda Airport,Debre Zeyit,ET,Harar Meda Airport - Debre Zeyit
1310,Wilwal International Airport,Jijiga,ET,Wilwal International Airport - Jijiga
1311,Jimma Airport,Jimma,ET,Jimma Airport - Jimma
1312,Awasa Airport,Awasa,ET,Awasa Airport - Awasa
1313,Mekele Airport,,ET,Mekele Airport - nan
1314,Asosa Airport,Asosa,ET,Asosa Airport - Asosa
1315,Bujumbura Melchior Ndadaye International Airport,Bujumbura,BI,Bujumbura Melchior Ndadaye International Airport - Bujumbura
1316,Egal International Airport,Hargeisa,SO,Egal International Airport - Hargeisa
1317,Berbera Airport,Berbera,SO,Berbera Airport - Berbera
1318,Kismayo Airport,Kismayo,SO,Kismayo Airport - Kismayo
1319,Aden Adde International Airport,Mogadishu,SO,Aden Adde International Airport - Mogadishu
1320,Djibouti-Ambouli Airport,Djibouti City,DJ,Djibouti-Ambouli Airport - Djibouti City
1321,Birma Air Base,Tanta,EG,Birma Air Base - Tanta
1322,Gebel El Basur Air Base,Markaz Ad Delingat,EG,Gebel El Basur Air Base - Markaz Ad Delingat
1323,Abu Suwayr Air Base,Abu Suwayr,EG,Abu Suwayr Air Base - Abu Suwayr
1324,Bir Gifgafa Airfield,El Hassana,EG,Bir Gifgafa Airfield - El Hassana
1325,Bilbeis Air Base,Bilbeis,EG,Bilbeis Air Base - Bilbeis
1326,El Alamein International Airport,El Alamein,EG,El Alamein International Airport - El Alamein
1327,El Arish International Airport,El Arish,EG,El Arish International Airport - El Arish
1328,Asyut International Airport,Asyut,EG,Asyut International Airport - Asyut
1329,Almaza Air Force Base,Cairo,EG,Almaza Air Force Base - Cairo
1330,Borj El Arab International Airport,Alexandria,EG,Borj El Arab International Airport - Alexandria
1331,Abu Simbel Airport,Abu Simbel,EG,Abu Simbel Airport - Abu Simbel
1332,Beni Suef Air Base,Beni Suef,EG,Beni Suef Air Base - Beni Suef
1333,Cairo International Airport,Cairo,EG,Cairo International Airport - Cairo
1334,Capital International Airport,New Cairo,EG,Capital International Airport - New Cairo
1335,Cairo West Air Base,Cairo,EG,Cairo West Air Base - Cairo
1336,Hurghada International Airport,Hurghada,EG,Hurghada International Airport - Hurghada
1337,El Gora Airport,El Gora,EG,El Gora Airport - El Gora
1338,Jiyanklis Air Base,Abu El Matamir,EG,Jiyanklis Air Base - Abu El Matamir
1339,Al Ismailiya Air Base,Al Ismailiya,EG,Al Ismailiya Air Base - Al Ismailiya
1340,Luxor International Airport,Luxor,EG,Luxor International Airport - Luxor
1341,Marsa Alam International Airport,Marsa Alam,EG,Marsa Alam International Airport - Marsa Alam
1342,Marsa Matruh Airport,Marsa Matruh,EG,Marsa Matruh Airport - Marsa Matruh
1343,Port Said International Airport,Port Said,EG,Port Said International Airport - Port Said
1344,Saint Catherine International Airport,Saint Catherine,EG,Saint Catherine International Airport - Saint Catherine
1345,Suhaj Mubarak International Airport,Suhaj,EG,Suhaj Mubarak International Airport - Suhaj
1346,Sharm El Sheikh International Airport,Sharm el-Sheikh,EG,Sharm El Sheikh International Airport - Sharm el-Sheikh
1347,Aswan International Airport,Aswan,EG,Aswan International Airport - Aswan
1348,Sphinx International Airport,Giza,EG,Sphinx International Airport - Giza
1349,Taba International Airport,Taba,EG,Taba International Airport - Taba
1350,Asmara International Airport,Asmara,ER,Asmara International Airport - Asmara
1351,Massawa International Airport,Massawa,ER,Massawa International Airport - Massawa
1352,Assab International Airport,Asab,ER,Assab International Airport - Asab
1353,Lianshui Airport,Huai'an,CN,Lianshui Airport - Huai'an
1354,Juba International Airport,Juba,SS,Juba International Airport - Juba
1355,Amboseli Airport,Amboseli National Park,KE,Amboseli Airport - Amboseli National Park
1356,Eldoret International Airport,Eldoret,KE,Eldoret International Airport - Eldoret
1357,Jomo Kenyatta International Airport,Nairobi,KE,Jomo Kenyatta International Airport - Nairobi
1358,Kisumu Airport,Kisumu,KE,Kisumu Airport - Kisumu
1359,Kitale Airport,Kitale,KE,Kitale Airport - Kitale
1360,Lokichoggio Airport,Lokichoggio,KE,Lokichoggio Airport - Lokichoggio
1361,Lodwar Airport,Lodwar,KE,Lodwar Airport - Lodwar
1362,Manda Airport,Lamu,KE,Manda Airport - Lamu
1363,Malindi Airport,Malindi,KE,Malindi Airport - Malindi
1364,Moi International Airport,Mombasa,KE,Moi International Airport - Mombasa
1365,Mara Serena Lodge Airstrip,Masai Mara,KE,Mara Serena Lodge Airstrip - Masai Mara
1366,Nairobi Wilson Airport,Nairobi,KE,Nairobi Wilson Airport - Nairobi
1367,Nanyuki Airport,Nanyuki,KE,Nanyuki Airport - Nanyuki
1368,Moi Air Base,Nairobi,KE,Moi Air Base - Nairobi
1369,Wajir Airport,Wajir,KE,Wajir Airport - Wajir
1370,Matan al-Sarra Air Base,,LY,Matan al-Sarra Air Base - nan
1371,Al Bumbah North Air Base,,LY,Al Bumbah North Air Base - nan
1372,Okba Ibn Nafa Air Base,,LY,Okba Ibn Nafa Air Base - nan
1373,Gardabya Airport,Sirt,LY,Gardabya Airport - Sirt
1374,Ghat Airport,Ghat,LY,Ghat Airport - Ghat
1375,Kufra Airport,Kufra,LY,Kufra Airport - Kufra
1376,Benina International Airport,Benghazi,LY,Benina International Airport - Benghazi
1377,Mitiga Airport,Tripoli,LY,Mitiga Airport - Tripoli
1378,Al Abraq International Airport,Al Bayda',LY,Al Abraq International Airport - Al Bayda'
1379,Sabha Airport,Sabha,LY,Sabha Airport - Sabha
1380,Tripoli International Airport,Tripoli,LY,Tripoli International Airport - Tripoli
1381,Marsa Brega Airport,,LY,Marsa Brega Airport - nan
1382,Ghadames East Airport,Ghadames,LY,Ghadames East Airport - Ghadames
1383,Gisenyi Airport,Gisenyi,RW,Gisenyi Airport - Gisenyi
1384,Kigali International Airport,Kigali,RW,Kigali International Airport - Kigali
1385,Kamembe Airport,Kamembe,RW,Kamembe Airport - Kamembe
1386,Dongola Airport,Dongola,SD,Dongola Airport - Dongola
1387,Paloich Airport,Higleig,SS,Paloich Airport - Higleig
1388,El Fasher Airport,El Fasher,SD,El Fasher Airport - El Fasher
1389,Kassala Airport,Kassala,SD,Kassala Airport - Kassala
1390,Merowe New Airport,Merowe,SD,Merowe New Airport - Merowe
1391,Nyala Airport,Nyala,SD,Nyala Airport - Nyala
1392,El Obeid Airport,Al-Ubayyid,SD,El Obeid Airport - Al-Ubayyid
1393,Port Sudan New International Airport,Port Sudan,SD,Port Sudan New International Airport - Port Sudan
1394,Sabera Geneina Airport,Geneina,SD,Sabera Geneina Airport - Geneina
1395,Khartoum International Airport,Khartoum,SD,Khartoum International Airport - Khartoum
1396,Malakal Airport,Malakal,SS,Malakal Airport - Malakal
1397,Wau Airport,Wau,SS,Wau Airport - Wau
1398,Arusha Airport,Arusha,TZ,Arusha Airport - Arusha
1399,Julius Nyerere International Airport,Dar es Salaam,TZ,Julius Nyerere International Airport - Dar es Salaam
1400,Dodoma Airport,Dodoma,TZ,Dodoma Airport - Dodoma
1401,Songwe Airport,Mbeya,TZ,Songwe Airport - Mbeya
1402,Iringa Airport,Nduli,TZ,Iringa Airport - Nduli
1403,Kilimanjaro International Airport,Arusha,TZ,Kilimanjaro International Airport - Arusha
1404,Lake Manyara Airport,Lake Manyara National Park,TZ,Lake Manyara Airport - Lake Manyara National Park
1405,Mtwara Airport,Mtwara,TZ,Mtwara Airport - Mtwara
1406,Mwanza Airport,Mwanza,TZ,Mwanza Airport - Mwanza
1407,Pemba Airport,Chake Chake,TZ,Pemba Airport - Chake Chake
1408,Tanga Airport,Tanga,TZ,Tanga Airport - Tanga
1409,Abeid Amani Karume International Airport,Zanzibar,TZ,Abeid Amani Karume International Airport - Zanzibar
1410,Kalocsa/Foktő Airfield,Kalocsa/Foktő,HU,Kalocsa/Foktő Airfield - Kalocsa/Foktő
1411,Arua Airport,Arua,UG,Arua Airport - Arua
1412,Entebbe International Airport,Kampala,UG,Entebbe International Airport - Kampala
1413,Gulu Airport,Gulu,UG,Gulu Airport - Gulu
1414,Soroti Airport,Soroti,UG,Soroti Airport - Soroti
1415,Chengdu Huaizhou Airport,Chengdu,CN,Chengdu Huaizhou Airport - Chengdu
1416,Indigo Bay Lodge Airport,Bazaruto Island,MZ,Indigo Bay Lodge Airport - Bazaruto Island
1417,Bilogai-Sugapa Airport,Sugapa-Papua Island,ID,Bilogai-Sugapa Airport - Sugapa-Papua Island
1418,Jakkur Aerodrome,Bengaluru,IN,Jakkur Aerodrome - Bengaluru
1419,H1 New Air Base,Anah,IQ,H1 New Air Base - Anah
1420,H2 Air Base,,IQ,H2 Air Base - nan
1421,H3 Air Base,,IQ,H3 Air Base - nan
1422,H3 Northwest AFB,,IQ,H3 Northwest AFB - nan
1423,H3 Southwest Air Base,,IQ,H3 Southwest Air Base - nan
1424,Jalibah Southeast Air Base,Jalibah,IQ,Jalibah Southeast Air Base - Jalibah
1425,Kut Al Hayy East Air Base,,IQ,Kut Al Hayy East Air Base - nan
1426,Qalat Salih Air Base,,IQ,Qalat Salih Air Base - nan
1427,Rasheed Air Base,Baghdad,IQ,Rasheed Air Base - Baghdad
1428,Ruwayshid Air Base,,IQ,Ruwayshid Air Base - nan
1429,Sahl Sinjar Air Base,,IQ,Sahl Sinjar Air Base - nan
1430,Salum Air Base,,IQ,Salum Air Base - nan
1431,Samarra East Air Base / Dhuluiya Airport,Dhuluiya,IQ,Samarra East Air Base / Dhuluiya Airport - Dhuluiya
1432,Tal Ashtah New Air Base,http://en.wikipedia.org/wiki/Tal_Ashtah_Air_Base,IQ,Tal Ashtah New Air Base - http://en.wikipedia.org/wiki/Tal_Ashtah_Air_Base
1433,Tuz Khurmatu Air Base,,IQ,Tuz Khurmatu Air Base - nan
1434,Wadi Al Khirr New Air Base,,IQ,Wadi Al Khirr New Air Base - nan
1435,New Ishigaki Airport,Ishigaki,JP,New Ishigaki Airport - Ishigaki
1436,Jagdaqi Guangming Airport,Jagdaqi,CN,Jagdaqi Guangming Airport - Jagdaqi
1437,Qianjiang Wulingshan Airport,Qianjiang,CN,Qianjiang Wulingshan Airport - Qianjiang
1438,Jericoacoara - Comandante Ariston Pessoa Regional Airport,Cruz,BR,Jericoacoara - Comandante Ariston Pessoa Regional Airport - Cruz
1439,Jinzhou Bay Airport,"Linghai, Jinzhou",CN,"Jinzhou Bay Airport - Linghai, Jinzhou"
1440,King Feisal Air Base,Al-Jafr,JO,King Feisal Air Base - Al-Jafr
1441,Boulder City-Lake Mead International Airport,Boulder City,US,Boulder City-Lake Mead International Airport - Boulder City
1442,Mesquite International Airport,Mesquite,US,Mesquite International Airport - Mesquite
1443,South Alabama Regional At Bill Benton Field Airport,Andalusia/Opp,US,South Alabama Regional At Bill Benton Field Airport - Andalusia/Opp
1444,Lehigh Valley International Airport,Allentown,US,Lehigh Valley International Airport - Allentown
1445,Abilene Regional Airport,Abilene,US,Abilene Regional Airport - Abilene
1446,Albuquerque International Sunport,Albuquerque,US,Albuquerque International Sunport - Albuquerque
1447,Aberdeen Regional Airport,Aberdeen,US,Aberdeen Regional Airport - Aberdeen
1448,Southwest Georgia Regional Airport,Albany,US,Southwest Georgia Regional Airport - Albany
1449,Nantucket Memorial Airport,Nantucket,US,Nantucket Memorial Airport - Nantucket
1450,Waco Regional Airport,Waco,US,Waco Regional Airport - Waco
1451,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,US,California Redwood Coast-Humboldt County Airport - Arcata/Eureka
1452,Atlantic City International Airport,Atlantic City,US,Atlantic City International Airport - Atlantic City
1453,Joint Base Andrews,Camp Springs,US,Joint Base Andrews - Camp Springs
1454,Alexandria International Airport,Alexandria,US,Alexandria International Airport - Alexandria
1455,Fort Worth Alliance Airport,Fort Worth,US,Fort Worth Alliance Airport - Fort Worth
1456,Allegheny County Airport,Pittsburgh,US,Allegheny County Airport - Pittsburgh
1457,Augusta Regional At Bush Field,Augusta,US,Augusta Regional At Bush Field - Augusta
1458,Athens Ben Epps Airport,Athens,US,Athens Ben Epps Airport - Athens
1459,Akron Executive Airport,Akron,US,Akron Executive Airport - Akron
1460,Albany International Airport,Albany,US,Albany International Airport - Albany
1461,Alice International Airport,Alice,US,Alice International Airport - Alice
1462,Alamogordo White Sands Regional Airport,Alamogordo,US,Alamogordo White Sands Regional Airport - Alamogordo
1463,St Louis Regional Airport,Alton/St Louis,US,St Louis Regional Airport - Alton/St Louis
1464,Waterloo Regional Airport,Waterloo,US,Waterloo Regional Airport - Waterloo
1465,San Luis Valley Regional Airport/Bergman Field,Alamosa,US,San Luis Valley Regional Airport/Bergman Field - Alamosa
1466,Walla Walla Regional Airport,Walla Walla,US,Walla Walla Regional Airport - Walla Walla
1467,Rick Husband Amarillo International Airport,Amarillo,US,Rick Husband Amarillo International Airport - Amarillo
1468,Anniston Regional Airport,Anniston,US,Anniston Regional Airport - Anniston
1469,Anderson Regional Airport,Anderson,US,Anderson Regional Airport - Anderson
1470,Altoona Blair County Airport,Altoona,US,Altoona Blair County Airport - Altoona
1471,Centennial Airport,Denver,US,Centennial Airport - Denver
1472,Naples Municipal Airport,Naples,US,Naples Municipal Airport - Naples
1473,Phillips Army Air Field,Aberdeen Proving Grounds(Aberdeen),US,Phillips Army Air Field - Aberdeen Proving Grounds(Aberdeen)
1474,Alpena County Regional Airport,Alpena,US,Alpena County Regional Airport - Alpena
1475,Acadiana Regional Airport,New Iberia,US,Acadiana Regional Airport - New Iberia
1476,Watertown International Airport,Watertown,US,Watertown International Airport - Watertown
1477,Aspen-Pitkin Co/Sardy Field,Aspen,US,Aspen-Pitkin Co/Sardy Field - Aspen
1478,Astoria Regional Airport,Astoria,US,Astoria Regional Airport - Astoria
1479,Hartsfield Jackson Atlanta International Airport,Atlanta,US,Hartsfield Jackson Atlanta International Airport - Atlanta
1480,Watertown Regional Airport,Watertown,US,Watertown Regional Airport - Watertown
1481,Augusta State Airport,Augusta,US,Augusta State Airport - Augusta
1482,Austin Bergstrom International Airport,Austin,US,Austin Bergstrom International Airport - Austin
1483,Wausau Downtown Airport,Wausau,US,Wausau Downtown Airport - Wausau
