,airports,cities,countries,airports - cities
3029,Wellington International Airport,Wellington,NZ,Wellington International Airport - Wellington
3030,Wairoa Airport,Wairoa,NZ,Wairoa Airport - Wairoa
3031,RNZAF Base Auckland-Whenuapai,,NZ,RNZAF Base Auckland-Whenuapai - nan
3032,Whangarei Airport,,NZ,Whangarei Airport - nan
3033,Westport Airport,,NZ,Westport Airport - nan
3034,Wanganui Airport,Wanganui,NZ,Wanganui Airport - Wanganui
3035,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,Herat - Khwaja Abdullah Ansari International Airport - Guzara
3036,Bagram Airfield,Bagram,AF,Bagram Airfield - Bagram
3037,Jalalabad Airport,Jalalabad,AF,Jalalabad Airport - Jalalabad
3038,Kabul International Airport,Kabul,AF,Kabul International Airport - Kabul
3039,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF,Ahmad Shah Baba International Airport / Kandahar Airfield - Khvoshab
3040,Maymana Zahiraddin Faryabi Airport,Maymana,AF,Maymana Zahiraddin Faryabi Airport - Maymana
3041,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,Mazar-i-Sharif International Airport - Mazar-i-Sharif
3042,Kunduz Airport,Kunduz,AF,Kunduz Airport - Kunduz
3043,Bahrain International Airport,Manama,BH,Bahrain International Airport - Manama
3044,Sheik Isa Air Base,Sitrah,BH,Sheik Isa Air Base - Sitrah
3045,Abha International Airport,Abha,SA,Abha International Airport - Abha
3046,Al-Ahsa International Airport,Hofuf,SA,Al-Ahsa International Airport - Hofuf
3047,King Saud Bin Abdulaziz (Al Baha) Airport,Al Aqiq,SA,King Saud Bin Abdulaziz (Al Baha) Airport - Al Aqiq
3048,Bisha Airport,,SA,Bisha Airport - nan
3049,King Fahd International Airport,Ad Dammam,SA,King Fahd International Airport - Ad Dammam
3050,King Salman Abdulaziz Airport,Dawadmi,SA,King Salman Abdulaziz Airport - Dawadmi
3051,King Abdulaziz Air Base,Dhahran,SA,King Abdulaziz Air Base - Dhahran
